Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,531.099976,534.000000,528.049988,530.500000,457.039764,1523020
2013-01-03,532.000000,533.700012,526.500000,532.349976,458.633514,1059032
2013-01-04,534.000000,536.299988,529.099976,534.700012,460.658173,1159517
2013-01-07,533.650024,534.650024,522.799988,525.400024,452.645996,2310025
2013-01-08,523.000000,527.099976,520.000000,525.500000,452.732086,1646596
2013-01-09,526.000000,529.849976,518.200012,519.299988,447.390656,1566612
2013-01-10,520.000000,521.900024,513.700012,516.599976,445.064423,1651086
2013-01-11,517.000000,518.000000,495.100006,498.100006,429.126312,2134714
2013-01-14,500.000000,508.399994,492.000000,505.299988,435.329254,2522332
2013-01-15,504.950012,508.299988,497.600006,503.700012,433.950836,2537955
2013-01-16,504.450012,505.100006,498.000000,500.149994,430.892426,2197579
2013-01-17,498.049988,504.549988,496.600006,500.549988,431.237000,2527307
2013-01-18,502.000000,502.799988,488.000000,490.399994,422.492554,3953993
2013-01-21,490.049988,499.850006,482.350006,497.250000,428.394073,4409836
2013-01-22,496.399994,505.500000,463.399994,480.899994,414.308044,13295996
2013-01-23,451.200012,463.600006,447.850006,460.049988,396.345184,18353640
2013-01-24,458.799988,470.299988,457.649994,468.799988,403.883575,2986749
2013-01-25,468.500000,477.850006,466.450012,476.500000,410.517273,3193879
2013-01-28,476.000000,476.950012,466.049988,470.350006,405.218903,2867126
2013-01-29,468.000000,471.850006,465.250000,468.549988,403.668213,2203760
2013-01-30,469.600006,481.799988,469.600006,477.450012,411.335815,3235887
2013-01-31,473.100006,479.100006,470.000000,473.950012,408.320496,2602245
2013-02-01,472.850006,472.850006,463.450012,464.850006,400.480499,1778094
2013-02-04,466.100006,469.500000,459.600006,467.100006,402.419006,2333391
2013-02-05,464.700012,468.000000,459.899994,461.500000,397.594421,1464418
2013-02-06,462.549988,463.399994,451.149994,454.250000,391.348389,2398688
2013-02-07,452.000000,458.299988,452.000000,456.000000,392.856049,1306127
2013-02-08,455.049988,457.500000,449.500000,452.700012,390.013092,2054421
2013-02-11,455.049988,463.500000,450.100006,460.549988,396.775970,1687906
2013-02-12,457.500000,464.250000,457.500000,460.000000,396.302185,1161048
2013-02-13,460.000000,460.000000,453.649994,455.750000,392.640686,1457944
2013-02-14,454.149994,467.950012,453.600006,464.549988,400.221985,2698872
2013-02-15,463.600006,467.799988,460.100006,462.100006,398.111328,1446219
2013-02-18,462.299988,471.750000,462.000000,470.200012,405.089661,1116507
2013-02-19,472.000000,477.850006,469.450012,476.600006,410.603455,1684526
2013-02-20,477.000000,478.700012,471.950012,477.149994,411.077332,1257057
2013-02-21,476.000000,478.200012,464.149994,468.250000,403.409698,2049876
2013-02-22,467.000000,467.149994,454.000000,455.399994,392.339081,2420050
2013-02-25,456.049988,457.799988,450.000000,451.700012,389.151489,1483568
2013-02-26,451.500000,462.000000,450.600006,452.100006,389.496094,1591179
2013-02-27,454.500000,459.799988,452.450012,453.250000,390.486847,1530865
2013-02-28,455.399994,458.000000,435.000000,443.049988,381.699249,3984567
2013-03-01,447.000000,456.649994,440.149994,452.799988,390.099182,1620895
2013-03-04,450.350006,451.950012,440.000000,440.950012,379.890045,2112775
2013-03-05,442.750000,451.399994,441.000000,449.899994,387.600708,2602130
2013-03-06,450.250000,451.000000,439.100006,440.500000,379.502411,3117341
2013-03-07,438.750000,443.000000,432.149994,433.200012,373.213257,3510565
2013-03-08,434.750000,439.700012,433.200012,437.799988,377.176178,3710974
2013-03-11,438.000000,444.399994,437.500000,439.049988,378.253174,2172102
2013-03-12,440.000000,448.500000,439.299988,444.450012,382.905396,3055791
2013-03-13,444.000000,450.000000,443.600006,446.750000,384.886932,1964447
2013-03-14,446.100006,460.000000,446.100006,456.049988,392.899078,4887406
2013-03-15,457.950012,464.000000,455.549988,458.600006,395.096008,5763799
2013-03-18,455.000000,466.500000,455.000000,463.450012,399.274414,2315988
2013-03-19,467.049988,467.649994,452.500000,453.500000,390.702209,3089196
2013-03-20,453.500000,470.350006,450.399994,468.649994,403.754364,2681146
2013-03-21,468.850006,472.000000,457.299988,460.799988,396.991394,3649437
2013-03-22,461.500000,468.700012,456.700012,459.100006,395.526825,2023676
2013-03-25,463.149994,465.000000,458.350006,461.299988,397.422089,1175950
2013-03-26,462.600006,475.799988,462.600006,472.700012,407.243500,2577126
2013-03-28,471.000000,472.450012,462.850006,466.950012,402.289795,5842644
2013-04-01,466.000000,474.799988,465.100006,471.350006,406.080414,944417
2013-04-02,471.000000,474.000000,468.799988,470.899994,405.692780,855108
2013-04-03,467.399994,470.950012,461.100006,462.799988,398.714386,1700086
2013-04-04,461.549988,471.700012,461.549988,470.049988,404.960480,1726008
2013-04-05,469.950012,474.399994,468.350006,471.700012,406.381958,1372376
2013-04-08,471.000000,479.350006,471.000000,477.950012,411.766632,1869019
2013-04-09,479.049988,480.500000,469.149994,472.149994,406.769745,3098313
2013-04-10,477.000000,477.000000,465.200012,467.950012,403.151306,2033464
2013-04-11,472.799988,474.000000,465.000000,471.649994,406.338928,2194005
2013-04-12,468.100006,480.000000,468.100006,479.049988,412.714233,1502206
2013-04-15,479.100006,479.700012,470.600006,475.000000,409.225098,1378046
2013-04-16,473.000000,487.000000,471.500000,485.799988,418.529480,1451228
2013-04-17,484.000000,487.950012,482.049988,483.049988,416.160309,2711366
2013-04-18,482.350006,487.500000,481.250000,483.200012,416.289551,2197874
2013-04-22,482.600006,487.000000,481.149994,482.899994,416.031128,2283739
2013-04-23,482.000000,489.500000,477.649994,479.350006,412.972717,1320840
2013-04-25,480.250000,486.350006,469.100006,478.649994,412.369598,2833099
2013-04-26,477.350006,477.350006,462.700012,465.049988,400.652863,2239631
2013-04-29,465.000000,499.649994,457.600006,497.350006,428.480194,11096404
2013-04-30,547.049988,597.000000,547.049988,583.799988,502.959137,19185543
2013-05-02,582.849976,582.849976,570.349976,571.849976,492.663849,7162821
2013-05-03,570.500000,577.500000,570.500000,572.400024,493.137634,2935748
2013-05-06,572.200012,576.150024,571.099976,573.150024,493.783966,1541686
2013-05-07,573.000000,581.400024,572.500000,579.349976,499.125427,1953522
2013-05-08,578.250000,588.400024,578.250000,587.000000,505.716095,2665710
2013-05-09,588.000000,588.099976,584.000000,584.849976,503.863617,1192515
2013-05-10,587.700012,587.750000,583.549988,585.000000,503.993073,962470
2013-05-13,585.849976,587.000000,581.250000,582.200012,501.580566,1858762
2013-05-14,582.450012,585.000000,581.549988,583.849976,503.002167,762210
2013-05-15,585.700012,587.599976,583.549988,585.500000,504.423737,1871906
2013-05-16,583.099976,585.849976,582.049988,582.750000,502.054535,3247546
2013-05-17,582.500000,586.750000,582.500000,586.000000,504.854553,1493246
2013-05-20,586.000000,587.849976,585.049988,586.400024,505.199066,1476948
2013-05-21,586.000000,590.000000,585.250000,585.799988,504.682159,1565233
2013-05-22,584.099976,585.549988,584.099976,585.099976,504.079163,1053010
2013-05-23,584.250000,585.900024,584.250000,585.250000,504.208252,2498040
2013-05-24,586.000000,587.000000,585.150024,586.150024,504.983734,1290939
2013-05-27,586.200012,592.650024,585.200012,591.599976,509.679047,1185438
2013-05-28,592.000000,592.299988,589.049988,591.349976,509.463745,826579
2013-05-29,591.599976,594.950012,590.000000,594.150024,511.875916,898094
